profile_id,activity_date,songs_played
6627439829579126,2017-01-22,1
2382648369032477,2017-07-09,8
2382648369032477,2017-07-07,1
6820489121602825,2017-09-23,10
6396181122542701,2017-03-10,23
6396181122542701,2017-03-28,18
6396181122542701,2017-03-05,16
6848011796114578,2017-01-04,2
8888428657471512,2017-10-18,20
6396181122542701,2017-03-18,21
6396181122542701,2017-03-30,7
441137470771355,2017-10-03,65
4636222193846934,2017-10-17,1
3917814528938208,2017-09-21,18
4678168579421255,2017-11-25,1
7063608683360184,2017-02-04,23
7063608683360184,2017-04-12,27
441137470771355,2017-10-05,44
7063608683360184,2017-04-04,22
7063608683360184,2017-03-08,11
3741082224545662,2017-05-10,85
7022866026848687,2017-03-20,2
7022866026848687,2017-03-23,3
8802968478301091,2017-06-24,2
3844623017430813,2017-07-15,1
739233827711759,2017-10-28,3
3236587427319869,2017-09-09,1
6487434762639702,2017-09-09,1
9829002565996192,2017-02-24,20
3.52477E+15,2017-01-24,4
2991153513951589,2017-12-31,2
2991153513951589,2017-12-16,18
9654126787335124,2017-10-08,1
2394271447438234,2017-10-20,11
3223520964031611,2017-08-20,32
3288095046997465,2017-09-10,51
1477079501012357,2017-08-15,1
1405488700163499,2017-12-22,6
844929011226513,2017-06-12,7
3099135369868268,2017-03-07,19
3099135369868268,2017-03-19,1
2.77807E+15,2017-01-19,28
2.77807E+15,2017-06-03,94
7843754133960039,2017-04-08,1
6389651065113396,2017-07-05,1
787359190919950,2017-03-29,1
1217098013615926,2017-08-24,53
2377192054232297,2017-11-26,5
7.7682E+15,2017-08-16,27
2660769997789566,2017-03-16,11
7589173098985913,2017-12-23,1
1217098013615926,2017-11-29,22
1.97568E+15,2017-03-01,25
5539444392256466,2017-09-16,7
5987790939704301,2017-06-23,19
1150975823989164,2017-06-15,36
8987560315752847,2017-10-19,24
7012850973097367,2017-10-28,14
8346521295722715,2017-10-14,15
8.67849E+15,2017-02-25,1
8848866634159442,2017-04-24,1
2919369418199768,2017-09-09,22
8245645978580022,2017-06-12,1
1920589973661549,2017-06-24,3
6820489121602825,2017-08-09,1
1.52026E+15,2017-11-03,1
3473560883390246,2017-12-15,3
9.49671E+15,2017-05-28,4
8760753205460519,2017-10-26,14
7760584339084826,2017-06-27,10
9829002565996192,2017-02-15,10
9829002565996192,2017-01-23,3
3116775071701409,2017-04-14,1
578714488888403,2017-04-06,6
1055901060795175,2017-06-15,41
9218404030130984,2017-10-16,1
3635030870792601,2017-05-06,1
4480401489143158,2017-06-19,1
4377568668108011,2017-12-20,1
256511594981459,2017-12-09,7
5512180684790489,2017-02-22,1
636226974505201,2017-08-08,37
2.77807E+15,2017-05-12,15
2.77807E+15,2017-01-17,1
9539355233496083,2017-07-24,7
1217098013615926,2017-09-18,64
1217098013615926,2017-11-03,28
7.7682E+15,2017-10-05,20
3806416526570399,2017-11-27,2
3496425959345986,2017-10-07,1
1477079501012357,2017-08-23,22
1455353028496218,2017-12-25,1
3099135369868268,2017-03-08,18
2.77807E+15,2017-11-12,7
3806416526570399,2017-11-29,28
665752784133577,2017-05-02,1
5717658308851022,2017-04-24,14
5987790939704301,2017-07-02,17
5987790939704301,2017-06-24,16
1215440542647219,2017-08-26,1
9443564878000051,2017-12-29,35
9443564878000051,2017-12-27,37
1851587446905369,2017-07-16,1
5997922001797199,2017-07-25,33
7330260943362897,2017-03-21,7
3217650326603778,2017-07-08,9
8157688763570646,2017-03-27,1
6370572103326189,2017-09-27,30
6370572103326189,2017-10-01,24
7012850973097367,2017-12-08,8
8346521295722715,2017-12-09,25
8346521295722715,2017-11-06,30
8346521295722715,2017-09-12,12
9674400177136483,2017-10-24,10
9674400177136483,2017-10-28,7
9081551604866268,2017-11-05,23
9081551604866268,2017-11-06,12
8605856097340384,2017-02-16,66
8605856097340384,2017-03-13,3
8953377153876026,2017-05-30,1
2919369418199768,2017-08-16,14
7678177795273714,2017-10-27,5
8994780555526049,2017-11-25,1
2.77837E+15,2017-06-06,1
6811024431883405,2017-10-17,7
5629542602870775,2017-09-05,50
9755614367844939,2017-05-26,1
8.23906E+15,2017-04-01,1
8.23906E+15,2017-10-19,20
7421078147821369,2017-10-21,2
5723038558162398,2017-02-15,15
7523561330126223,2017-05-08,22
4683397578307781,2017-07-10,1
5300839330711983,2017-11-12,1
953654891681829,2017-09-20,11
6613664415876756,2017-08-30,2
3199403355739696,2017-09-07,14
3085076756605193,2017-07-13,14
4588269520912735,2017-04-18,56
4588269520912735,2017-04-11,3
4588269520912735,2017-11-13,25
5779898455406293,2017-11-23,47
3113320051821118,2017-10-26,5
7482691385760768,2017-10-18,6
6189494358174363,2017-03-01,1
7265577471088231,2017-09-18,8
7265577471088231,2017-09-08,26
9519759910622479,2017-10-20,4
