profile_id,first_activity_time,signup_platform,signup_device_model,signup_country_code,acquisition_source
5589612007486125,2017-05-11 22:03:39,iOS,"iPhone9,4",US,acquisition_source_1
797067844306506,2017-02-22 21:43:52,iOS,"iPad2,5",US,acquisition_source_2
195649978237011,2017-10-28 19:10:21,Android,motorola Moto G (5),MX,acquisition_source_3
2138800338904644,2017-01-24 15:04:40,iOS,"iPhone9,1",IR,acquisition_source_3
2487230530056214,2017-09-07 16:45:16,iOS,"iPhone8,1",US,acquisition_source_2
1439347099764066,2017-12-19 1:20:28,Android,motorola Moto Z (2),US,acquisition_source_2
8349406553136726,2017-10-17 0:41:28,iOS,"iPhone9,1",US,acquisition_source_1
9392926383970725,2017-06-27 16:52:47,iOS,"iPhone9,3",GB,acquisition_source_3
3435343846371184,2017-08-15 3:32:19,Android,samsung SM-G928T,US,acquisition_source_2
2396407763664772,2017-01-31 8:59:00,Android,samsung SM-A710F,MY,acquisition_source_2
3831742415178878,2017-11-16 18:00:03,iOS,"iPad2,5",US,acquisition_source_2
8403531168307619,2021-09-10 9:50:00,iOS,"iPad6,11",GB,acquisition_source_3
6541242482656454,2017-10-28 16:12:48,Android,Sony G3311,GB,acquisition_source_3
748869180766208,2017-04-08 20:25:59,Android,samsung SM-G531H,BR,acquisition_source_2
3343676197131622,2017-07-23 11:43:37,Android,HUAWEI HUAWEI Y560-L01,PL,acquisition_source_2
5018221401599502,2017-01-10 13:51:25,Android,samsung Galaxy Nexus,HR,acquisition_source_2
5558525616393634,2017-06-13 7:00:41,iOS,"iPhone8,1",US,acquisition_source_3
5367590432279859,2017-06-15 18:14:20,iOS,"iPhone8,1",GB,acquisition_source_2
9232951973910442,2017-07-14 0:57:15,iOS,"iPhone7,1",US,acquisition_source_3
586706273331858,2017-10-19 17:05:40,Desktop,Vostro 3350 (Dell Inc.),LV,acquisition_source_2
4208417966605847,2017-12-21 21:11:46,iOS,"iPhone10,4",MX,acquisition_source_2
5409166837296259,2017-06-07 16:34:34,iOS,"iPhone5,2",NL,acquisition_source_2
5.03755E+15,2018-03-25 1:21:55,iOS,"iPhone8,1",NZ,acquisition_source_2
202295452264896,2017-03-01 12:19:37,Android,OPPO OPPO A57,CN,acquisition_source_2
9.57968E+15,2017-04-10 16:59:47,Android,TCT A571VL,US,acquisition_source_2
9604892631567435,2017-10-17 18:38:35,iOS,"iPhone7,2",US,acquisition_source_2
5508970931764477,2017-04-01 19:43:51,iOS,"iPad5,3",US,acquisition_source_3
2994772383594747,2017-05-01 9:14:50,Android,samsung SM-T550,GB,acquisition_source_2
4504699215031604,2020-10-06 19:23:18,iOS,"iPhone7,2",DK,acquisition_source_2
854241612164277,2017-12-25 8:42:10,iOS,"iPhone8,1",US,acquisition_source_2
8902999202998048,2017-02-14 13:53:02,iOS,"iPhone5,4",FR,acquisition_source_4
7263645812156902,2018-05-26 5:06:59,Android,samsung SM-S920L,US,acquisition_source_5
7.74347E+15,2017-06-24 10:39:31,iOS,"iPad4,1",AU,acquisition_source_2
4476138577560906,2017-10-28 7:11:52,Android,OnePlus ONEPLUS A5000,IN,acquisition_source_2
9153462164283196,2017-07-14 5:06:51,Android,LENOVO Lenovo A6010,ID,acquisition_source_2
4999435865375514,2017-12-26 20:32:05,iOS,"iPhone8,1",GE,acquisition_source_3
8872571241209572,2017-11-01 12:39:01,iOS,"iPhone6,2",IT,acquisition_source_4
5919797380027166,2017-04-09 7:56:25,Android,samsung SM-J700F,IN,acquisition_source_3
5206284464370407,2018-01-01 15:58:04,iOS,"iPhone10,5",NL,acquisition_source_3
5520168412405136,2017-03-25 19:13:18,Android,LGE LGL82VL,US,acquisition_source_2
3.04163E+15,2019-07-23 13:00:45,iOS,"iPhone7,2",IE,acquisition_source_3
305857400669621,2017-05-28 1:10:41,iOS,"iPhone5,1",US,acquisition_source_2
1399279716492664,2017-10-28 9:19:23,Android,HUAWEI CAM-L21,BY,acquisition_source_5
8169850163808175,2017-01-22 13:34:21,iOS,"iPhone8,2",KR,acquisition_source_3
9968720675810138,2017-03-07 15:42:17,iOS,"iPad4,4",GB,acquisition_source_2
6699311482133031,2017-01-02 3:22:55,iOS,"iPhone4,1",US,acquisition_source_2
2354110267686681,2017-05-11 10:24:12,iOS,"iPhone5,2",ZA,acquisition_source_2
7124654856110064,2017-12-01 21:39:44,Android,samsung SM-J701M,MX,acquisition_source_2
2039308609527023,2017-06-11 3:24:51,iOS,"iPad4,4",US,acquisition_source_2
1005361954258733,2017-09-08 22:57:21,iOS,"iPhone8,1",UY,acquisition_source_4
9228055168754056,2017-03-25 17:20:24,Android,samsung SM-G570M,CL,acquisition_source_4
7513646894936917,2017-10-12 7:28:04,Android,samsung SM-G920I,SA,acquisition_source_4
7259774460995291,2017-03-14 19:57:34,Android,motorola Moto G (4),CO,acquisition_source_2
5770303898113981,2017-10-26 15:43:21,iOS,"iPad5,3",GB,acquisition_source_2
4611487411214958,2021-01-06 23:54:06,iOS,"iPhone9,2",US,acquisition_source_2
2629740691106476,2017-06-01 9:28:45,Android,Meizu m3 note,RU,acquisition_source_2
1723006121070186,2017-12-06 3:13:35,iOS,"iPhone7,2",AU,acquisition_source_2
8941714021185676,2017-11-13 9:06:35,Android,samsung SM-G955F,TH,acquisition_source_3
5930395388052416,2017-10-18 11:24:04,Android,Archos Archos 70 Platinum 3G,FR,acquisition_source_3
2362671002153238,2017-09-14 11:19:31,Android,HUAWEI FRD-L09,FI,acquisition_source_3
1532911653762219,2017-05-24 0:29:18,Desktop,HP 2000 Notebook PC (Hewlett-Packard),US,acquisition_source_2
5844971817025127,2017-06-20 16:48:05,Android,TCL 5042A,ZZ,acquisition_source_2
2373269997797348,2017-07-20 0:54:06,iOS,"iPad2,5",US,acquisition_source_2
7.08415E+15,2017-01-07 6:10:32,iOS,"iPod5,1",CA,acquisition_source_3
830310459546466,2017-05-15 12:28:35,Android,HUAWEI HUAWEI VNS-L31,ZA,acquisition_source_2
63563673010240,2017-10-10 11:05:08,Android,samsung SM-A310N0,KR,acquisition_source_2
710121474965757,2017-12-10 2:22:47,Android,ZTE Z981,US,acquisition_source_2
3739463848418765,2017-11-07 2:07:00,Android,LGE LGMS428,US,acquisition_source_3
667693693722240,2017-03-19 16:35:49,iOS,"iPhone6,1",US,acquisition_source_3
9449651571343209,2017-10-05 9:12:08,iOS,"iPhone7,1",AU,acquisition_source_2
1843309102824748,2019-10-05 15:22:55,Desktop,samsung SM-A105M,PE,acquisition_source_2
8386676966356078,2017-05-03 4:41:44,Android,samsung SM-G800H,US,acquisition_source_3
9948337304793333,2017-12-27 18:46:49,iOS,"iPhone9,3",MX,acquisition_source_4
5479113154170181,2018-05-03 14:26:18,Android,HUAWEI PRA-LX1,DE,acquisition_source_3
9618330251440699,2017-11-12 3:33:59,Android,samsung SM-G610M,MX,acquisition_source_2
8669847903047291,2017-12-14 13:59:35,iOS,"iPhone10,3",US,acquisition_source_2
5.44541E+15,2017-01-13 2:53:00,iOS,"iPhone5,3",CA,acquisition_source_2
6362723614357361,2017-02-24 3:41:29,Android,samsung SM-N920T,US,acquisition_source_2
2695596121997347,2017-11-04 10:41:03,Android,samsung SM-A500FU,FR,acquisition_source_5
2836558783684882,2017-05-23 8:20:17,Android,WIKO JERRY,FR,acquisition_source_2
915012093078978,2017-05-26 23:49:29,Android,samsung SM-G531H,AR,acquisition_source_2
1265163241054879,2017-06-13 13:36:48,Android,LGE LG-H840,IL,acquisition_source_2
7983539084521068,2017-08-15 0:45:25,Android,samsung SM-G360T1,US,acquisition_source_2
2931028345257538,2017-03-11 16:09:24,iOS,"iPhone7,2",SG,acquisition_source_2
2405054539173347,2017-02-04 0:28:28,Android,samsung SM-J700M,BO,acquisition_source_2
2653062152755118,2017-05-27 5:45:42,iOS,"iPad5,3",CA,acquisition_source_2
1.70902E+15,2017-08-22 9:58:04,iOS,"iPhone8,1",BD,acquisition_source_4
2750155987766744,2017-02-16 10:55:20,iOS,"iPhone8,1",PL,acquisition_source_2
502870005185229,2017-05-02 21:31:28,Android,TCL Alcatel_6055U,US,acquisition_source_2
5546644059673313,2017-09-18 15:44:08,Android,samsung SM-N920I,AU,acquisition_source_4
5030664360778541,2017-03-02 8:03:44,Android,Xiaomi 2014817,ID,acquisition_source_2
496388643175760,2017-02-10 15:25:32,iOS,"iPhone6,1",US,acquisition_source_3
6757049078114382,2017-12-26 18:37:10,iOS,"iPhone9,2",US,acquisition_source_3
38635591162828,2017-08-19 16:29:13,iOS,"iPhone8,1",US,acquisition_source_4
6380163984264314,2017-12-20 0:07:35,iOS,"iPad5,3",US,acquisition_source_3
4.00561E+15,2019-11-29 13:20:11,iOS,"iPad5,1",PK,acquisition_source_5
6243133670506449,2017-08-21 23:26:19,Android,samsung SM-G930V,US,acquisition_source_2
1699408435056907,2017-08-16 22:56:34,Android,asus ASUS_T00J,DE,acquisition_source_2
2828446816247979,2017-06-01 16:50:26,Android,samsung SM-J510F,MA,acquisition_source_2
9128312410747816,2017-09-14 1:02:29,Android,TCL 5010G,MX,acquisition_source_2
1747431732947445,2017-12-19 9:19:25,iOS,"iPhone10,4",GB,acquisition_source_2
3407242428212066,2017-10-09 1:58:24,Android,motorola XT1563,BR,acquisition_source_2
476246445369368,2017-11-02 17:12:30,iOS,"iPhone9,4",IN,acquisition_source_4
9117726648379076,2017-09-17 18:21:38,Android,samsung SM-G950U,US,acquisition_source_3
5028712052682989,2017-09-13 16:11:33,Android,samsung SM-A320FL,TR,acquisition_source_4
7856388552317138,2018-01-02 11:27:29,Android,samsung SM-G530H,PK,acquisition_source_2
7371511940737692,2017-05-04 22:51:31,iOS,"iPhone9,2",US,acquisition_source_1
7049865567126719,2017-06-22 19:07:34,iOS,"iPhone8,1",SE,acquisition_source_3
9407064700459261,2017-06-07 23:17:19,Android,motorola XT1585,US,acquisition_source_3
8583981801086518,2017-04-07 13:17:33,iOS,"iPhone9,2",ES,acquisition_source_2
7579448939037067,2017-12-17 6:34:23,Android,samsung SM-N900L,KR,acquisition_source_2
758521639065809,2017-12-23 4:10:31,Android,Coolpad Coolpad E503,ID,acquisition_source_2
5298545816032004,2017-10-13 19:47:09,Android,LGE LG-H440n,GB,acquisition_source_2
